"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"C1","1","4.7nF","","","","0805","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","445-5972-1-ND","TDK","C2012X7R1E475K125AB","CAP CER 4.7UF 25V X7R 0805"
"C2","1","0.022uF 50V","","","","1206","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR72E104KW03-01.pdf","490-3542-2-ND","","GRM31CR72E104KW03L","CAP CER 0.1UF 250V X7R 1206"
"C3","1","1nF","","","","","","","","","Unpolarized capacitor"
"C4","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C5","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C6","1","1nF 2%","","","","402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H102FA01-01A.pdf","490-GRM1555C1H102FA01JTR-ND","","GRM1555C1H102FA01J","CAP CER 1000PF 50V C0G/NP0 0402"
"C7","1","1uF","","","","402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H102FA01-01A.pdf","490-GRM1555C1H102FA01JTR-ND","","GRM1555C1H102FA01J","CAP CER 1000PF 50V C0G/NP0 0402"
"C8","1","0.1uF 100V","","","","1206","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR72E104KW03-01.pdf","490-3542-2-ND","","GRM31CR72E104KW03L","CAP CER 0.1UF 250V X7R 1206"
"C9","1","1uF","","","","402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H102FA01-01A.pdf","490-GRM1555C1H102FA01JTR-ND","","GRM1555C1H102FA01J","CAP CER 1000PF 50V C0G/NP0 0402"
"C10","1","10uF 100V","","","","1206","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR72E104KW03-01.pdf","490-3542-2-ND","","GRM31CR72E104KW03L","CAP CER 0.1UF 250V X7R 1206"
"C11","1","47pF","","","","402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H102FA01-01A.pdf","490-GRM1555C1H102FA01JTR-ND","","GRM1555C1H102FA01J","CAP CER 1000PF 50V C0G/NP0 0402"
"C12","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C13","1","4.7uF","","","","","","","","","Unpolarized capacitor"
"C14","1","27pF","","","","","","","","","Unpolarized capacitor"
"C15","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C16","1","27pF","","","","","","","","","Unpolarized capacitor"
"C17","1","470pF","","","","","","","","","Unpolarized capacitor"
"C18","1","1uF","","","","","","","","","Unpolarized capacitor"
"C19","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C20","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C21","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C22","1","0.1uF","","","","","","","","","Unpolarized capacitor"
