"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"C1,C42,C186","3","4.7nF","","","","1812 (4532 Metric)","https://yageogroup.com/content/datasheet/asset/file/KEM_C1076_X7R_HV_AUTO_SMD","399-16791-1-ND","KEMET","C1812C472KGRACAUTO","CAP CER 1812 4.7NF 2000V X7R 10%"
"C2","1","0.022uF","","","","0402 (1005 Metric)","https://yageogroup.com/content/datasheet/asset/file/KEM_C1023_X7R_AUTO_SMD","399-C0402C223J5RACAUTOCT-ND","KEMET","C0402C223J5RACAUTO","CAP CER 0.022UF 50V X7R 0402"
"C3,C6,C62,C200,C201","5","1nF","","","","0402 (1005 Metric)","https://yageogroup.com/content/datasheet/asset/file/KEM_C1091_C0G_ESD","399-17168-1-ND,399-C0402C102J5GECAUTOCT-ND","KEMET","C0402C102J5GECAUTO,C0402C102K1GECAUTO","CAP CER 0402 1NF 100V C0G 10%,CAP CER 0402 1NF 50V C0G 5%"
"C4,C5,C12,C15,C19,C20,C21,C22,C23,C24,C25,C26,C35,C41,C43,C48,C51,C53,C54,C55,C56,C58,C60,C61,C67,C68,C83,C86,C87,C100,C107,C118,C120,C121,C122,C123,C124,C131,C132,C139,C140,C144,C145,C149,C150,C153,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,C169,C170,C171,C172,C173,C174,C175,C177,C178,C179,C180,C181,C183,C184,C185,C187,C188,C189,C193,C194,C195,C196,C197,C198,C199,C202,C203,C205","84","0.1uF","","","","0402 (1005 Metric)","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71C104KA55-01.pdf","490-4759-1-ND","Murata","GCM155R71C104KA55D","CAP CER 0.1UF 16V X7R 0402"
"C7,C9,C79,C135","4","1uF","","","","0805 (2012 Metric)","https://datasheets.kyocera-avx.com/AutoMLCC.pdf","478-KAM21KR72A105KUCT-ND","KYOCERA AVX","08051C105K4T2A","CAP CER 1UF 100V X7R 0805"
"C8","1","0.1uF","","","","0603 (1608 Metric)","https://www.murata.com/en-sg/api/pdfdownloadapi?cate=luCeramicCapacitorsSMD&partno=GCJ188R72A104KA01%23","490-13420-1-ND","Murata","GCJ188R72A104KA01D","CAP CER 0.1UF 100V X7R 0603"
"C10","1","10uF","","","","SMD, J-Lead","https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/KCM55_E-EN_PDF_CERAMICCAPACITORSMD","490-KCM55QR72A106KH01LCT-ND","Murata Electronics","KCM55QR72A106KH01L","CAP CER 10UF 100V X7R SMD"
"C11,C141,C142,C146,C147,C204","6","47pF","","","","0402 (1005 Metric)","https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GCM1555C1HR50BA16-01A-EN_PDF_CERAMICCAPACITORSMD,https://www.vishay.com/docs/45230/ga31gautomlccsold.pdf","490-16445-1-ND,720-GA0402A470JXBAP31GCT-ND","Murata Electronics,Vishay Vitramon","GA0402A470JXBAP31G,GCM1555C1H470FA16D","CAP CER 47PF 100V C0G/NP0 0402,CAP CER 47PF 50V C0G/NP0 0402"
"C13,C27,C30,C33,C46,C81,C137","7","4.7uF","","","","0805 (2012 Metric)","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT21BR71C475KE13-01.pdf","490-GRT21BR71C475KE13KCT-ND","Murata Electronics","GRT21BR71C475KE13K","CAP CER 4.7UF 16V X7R 0805"
"C14,C16","2","27pF","","","","0402 (1005 Metric)","https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GCM1555C1HR50BA16-01A-EN_PDF_CERAMICCAPACITORSMD","490-12651-1-ND","Murata Electronics","GCM1555C1H270JA16D","CAP CER 27PF 50V C0G/NP0 0402"
"C17","1","470pF","","","","0402 (1005 Metric)","https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GCM1555C1HR50BA16-01A-EN_PDF_CERAMICCAPACITORSMD","490-GCM1555C1H471FA16DCT-ND","Murata Electronics","GCM1555C1H471FA16D","CAP CER 470PF 50V C0G/NP0 0402"
