Ref,Qty,Value,Footprint,Dielectric/Type,Voltage,Tolerance,Power/Current,Manufacturer,MPN,Description,Status,Notes,Sheet
C1,1,4.7nF,C_0402_1005Metric,X7R,2kV,10%,,,,CAP CER 4.7nF 2kV X7R 0402,SELECT,shield-to-chassis HV Y-cap; 0402 impossible-needs 1808/1812,Ethernet Input
C2,1,0.022uF,C_0402_1005Metric,X7R,50V,10%,,Murata,GRM155R71H223KA12D,CAP CER 0.022uF 50V X7R 0402,STD,,Ethernet Input
C3,1,1nF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H102FA01J,CAP CER 1nF 50V C0G 0402,STD,,PoE
C4,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,PoE
C5,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,PoE
C6,1,1nF,C_0402_1005Metric,C0G,100V,5%,,Murata,GRM1555C2A102JA01D,CAP CER 1nF 100V C0G 0402,REVIEW-HV,on VOUT_N (PoE primary),PoE
C7,1,1uF,C_0603_1608Metric,X7T,100V,10%,,Murata,GRM188D72A105KE01W,CAP CER 1uF 100V X7T 0603,REVIEW-HV,on VOUT_N (PoE primary),PoE
C8,1,0.1uF,C_0402_1005Metric,X7R,100V,10%,,,,CAP CER 0.1uF 100V X7R 0402,SELECT,0.1uF 100V on VOUT_P; 0402 likely too small-verify pkg,PoE
C9,1,1uF,C_0603_1608Metric,X7T,100V,10%,,Murata,GRM188D72A105KE01W,CAP CER 1uF 100V X7T 0603,REVIEW-HV,on VOUT_N (PoE primary),PoE
C10,1,10uF,C_0805_2012Metric,X7S,100V,10%,,,,CAP CER 10uF 100V X7S 0805,SELECT,10uF 100V on VOUT_P; 0805 undersized-needs 1210/1812,PoE
C11,1,47pF,C_0402_1005Metric,C0G,100V,5%,,Murata,GRM1555C2A470JA01D,CAP CER 47pF 100V C0G 0402,REVIEW-HV,on VOUT_N (PoE primary),PoE
C12,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,PoE
C13,1,4.7uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BR71C475KE51K,CAP CER 4.7uF 16V X7R 0805,STD,,Ethernet PHY
C14,1,27pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H270FA01D,CAP CER 27pF 50V C0G 0402,STD,,Ethernet PHY
C15,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Ethernet PHY
C16,1,27pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H270FA01D,CAP CER 27pF 50V C0G 0402,STD,,Ethernet PHY
C17,1,470pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H471FA01D,CAP CER 470pF 50V C0G 0402,STD,,Ethernet PHY
C18,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,Ethernet PHY
C19,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Ethernet PHY
C20,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Ethernet PHY
C21,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C22,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C23,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C24,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C25,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C26,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C27,1,4.7uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BR71C475KE51K,CAP CER 4.7uF 16V X7R 0805,STD,,STM32
